product_id,name,rating,rating_count,num_flowers,aroma,composition_flowers,target_price,bonus,city
5300,Букет из 51 розы микс 35-40 см (Кения) под атласную ленту,5.0,8,51,яркий,роза,3280.0,164,Москва
3469,Букет из 51 красной розы 35-40 см (Кения) под ленту,4.6,590,51,яркий,роза,3290.0,165,Москва
4657,Букет из 25 альстромерий нежный микс под ленту,5.0,171,25,без запаха,альстромерия,3820.0,191,Москва
3265,Букет из 101 розы яркий микс 35-40 см (Кения),5.0,812,101,яркий,роза,7140.0,357,Москва
3982,Букет из 25 розовых гвоздик в стильной упаковке,4.7,599,25,сладкий,гвоздика,3290.0,165,Москва
5643,Букет из 35 красных роз (Кения) 50 см под ленту,4.7,165,35,яркий,роза,4170.0,209,Москва
4007,Букет из 101 розы нежный микс 35-40 см (Россия) под ленту,4.8,753,101,классический,роза,7140.0,357,Москва
4989,Букет из 51 альстромерий микс под ленту,5.0,4,51,без запаха,альстромерия,6590.0,330,Москва
2937,Букет из 35 роз микс 35-40 см (Кения) под атласную ленту,4.7,838,35,яркий,роза,3170.0,159,Москва
