product_id,name,rating,rating_count,num_flowers,aroma,composition_flowers,target_price,bonus,city
26,Ирисы синие,4.6,619,19,медовый,ирис,219.0,11,Краснодар
1679,Букет из 51 синего ириса под ленту,4.7,695,51,медовый,ирис,7703.0,386,Краснодар
1849,Букет цветов Родимая,4.9,657,9,без запаха,эустома,5488.0,275,Краснодар
2086,Букет цветов Единственная,4.8,646,15,без запаха,эустома,8856.0,443,Краснодар
1972,Букет из 21 лизиантуса микс в упаковке,4.5,334,21,без запаха,эустома,11927.0,597,Краснодар
2410,Букет из 35 белых лизиантусов в стильной упаковке,4.5,597,35,без запаха,эустома,19535.0,977,Краснодар
27,Лизиантус белый,4.7,543,9,без запаха,эустома,585.0,30,Краснодар
29,Лизиантус малиновый,4.7,734,9,без запаха,эустома,585.0,30,Краснодар
28,Лизиантус фиолетовый,4.6,472,9,без запаха,эустома,585.0,30,Краснодар
30,Лизиантус микс,4.5,429,13,без запаха,эустома,585.0,30,Краснодар
542,Букет из 15 матрикарий в стильной упаковке,4.5,331,15,,ромашка,5114.0,256,Краснодар
2004,Букет из 35 матрикарий в дизайнерской упаковке,4.9,630,35,,ромашка,10805.0,541,Краснодар
2156,Букет из 49 матрикарий в дизайнерской упаковке,4.7,492,49,,ромашка,14480.0,724,Краснодар
3733,Букет из 15 белых кустовых хризантем Сантини в стильной упаковке,4.7,572,15,сладкий,хризантема,4453.0,223,Краснодар
3734,Букет из 25 белых кустовых хризантем Сантини в стильной упаковке,4.5,820,25,сладкий,хризантема,6640.0,332,Краснодар
3735,Букет из 51 белой кустовой хризантемы Сантини в стильной упаковке,5.0,562,51,сладкий,хризантема,12609.0,631,Краснодар
4284,Букет из 9 кустовых хризантем Сантини микс в стильной упаковке,4.5,359,9,сладкий,хризантема,2977.0,149,Краснодар
2405,Букет из 15 кустовых хризантем Сантини микс в стильной упаковке,5.0,667,15,сладкий,хризантема,4453.0,223,Краснодар
2395,Букет из 25 кустовых хризантем Сантини микс в стильной упаковке,4.5,635,25,сладкий,хризантема,6640.0,332,Краснодар
2401,Букет из 49 кустовых хризантем Сантини микс в стильной упаковке,4.9,797,49,сладкий,хризантема,12037.0,602,Краснодар
2947,Букет из 75 белых кустовых хризантем Сантини в стильной упаковке,4.6,531,75,сладкий,хризантема,17715.0,886,Краснодар
3318,Букет из 15 садовых ромашек в дизайнерской упаковке,4.7,719,15,медовый,ромашка,5767.0,289,Краснодар
3317,Букет из 21 садовой ромашки в стильной упаковке,4.6,477,21,медовый,ромашка,8077.0,404,Краснодар
32,Матрикария,4.8,391,19,,ромашка,263.0,14,Краснодар
561,Букет из 15 подсолнухов под ленту,4.8,559,15,травяной,подсолнух,9368.0,469,Краснодар
1417,Букет из 25 подсолнухов под ленту,4.5,626,25,травяной,подсолнух,15222.0,762,Краснодар
141,Подсолнух,4.8,421,6,травяной,подсолнух,585.0,30,Краснодар
3396,Букет из гипсофил Росинка,4.7,608,5,без запаха,гипсофила,3000.0,150,Краснодар
3256,Букет из гипсофил Седьмое небо,4.6,353,7,без запаха,гипсофила,4306.0,216,Краснодар
3377,Букет из гипсофил Сияние,4.5,523,5,без запаха,гипсофила,3368.0,169,Краснодар
3688,Букет из гипсофил Белый пух,4.6,437,7,без запаха,гипсофила,3734.0,187,Краснодар
3289,Букет из гипсофил Мерцание луны,4.8,557,25,без запаха,гипсофила,9500.0,475,Краснодар
3259,Букет из гипсофил Звездная пыль,4.7,503,19,без запаха,гипсофила,9677.0,484,Краснодар
3255,Букет из гипсофил Звёздная дымка,5.0,490,25,без запаха,гипсофила,12508.0,626,Краснодар
3288,Букет из гипсофил Утренний иней,4.9,420,15,без запаха,гипсофила,6434.0,322,Краснодар
3269,Букет из гипсофил Летний рассвет,4.7,395,9,без запаха,гипсофила,4972.0,249,Краснодар
3287,Букет из гипсофил Первая роса,4.7,330,11,без запаха,гипсофила,5046.0,253,Краснодар
3268,Букет из гипсофил Созвездие любви,4.8,567,15,без запаха,гипсофила,7755.0,388,Краснодар
3290,Букет из гипсофилы Облако любви,4.9,501,51,без запаха,гипсофила,17679.0,884,Краснодар
3478,Гипсофила белая,4.5,432,15,без запаха,гипсофила,365.0,19,Краснодар
3443,Гипсофила микс,4.9,563,15,без запаха,гипсофила,438.0,22,Краснодар
3879,Букет из 15 нарциссов в стильной упаковке,4.8,84,15,пряный,нарцисс,4463.0,224,Краснодар
3880,Букет из 25 нарциссов в стильной упаковке,4.7,57,25,пряный,нарцисс,7123.0,357,Краснодар
5422,Букет из белых тюльпанов стандарт в упаковке   25 шт,4.8,198,25,без запаха,тюльпан,5227.0,262,Краснодар
5424,Букет из желтых тюльпанов стандарт в упаковке   25 шт,4.8,189,25,без запаха,тюльпан,5227.0,262,Краснодар
5423,Букет из розовых тюльпанов стандарт в упаковке   25 шт,4.8,186,25,без запаха,тюльпан,5227.0,262,Краснодар
2139,Букет из 51 тюльпана пионовидного розового в дизайнерской упаковке,4.9,804,51,без запаха,тюльпан,22141.0,1108,Краснодар
4613,Букет из 51 красного тюльпана стандарт под ленту,4.6,932,51,без запаха,тюльпан,9649.0,483,Краснодар
4448,Букет из 35 тюльпанов стандарт микс в упаковке,4.9,521,35,без запаха,тюльпан,7539.0,377,Краснодар
1969,Букет из 35 микса тюльпанов в нежной фиолетовой упаковке,4.7,728,35,без запаха,тюльпан,11621.0,582,Краснодар
140,Тюльпаны микс,4.6,862,,без запаха,тюльпан,209.0,11,Краснодар
1045,Тюльпаны пионовидные микс,4.5,882,,без запаха,тюльпан,249.0,13,Краснодар
5427,Букет цветов Комплимент   5 шт,4.8,183,5,без запаха,тюльпан,1520.0,76,Краснодар
4457,Букет цветов Прилив чувств,5.0,813,9,без запаха,тюльпан,2970.0,149,Краснодар
4450,Букет из 15 тюльпанов стандарт микс под ленту,4.7,586,15,без запаха,тюльпан,3028.0,152,Краснодар
5385,Букет из тюльпанов микс стандарт в упаковке      15 шт,4.5,165,15,без запаха,тюльпан,3342.0,168,Краснодар
4451,Букет из 25 тюльпанов стандарт микс под ленту,4.6,841,25,без запаха,тюльпан,3990.0,200,Краснодар
4460,Букет из 15 пионовидных тюльпанов в упаковке,4.6,610,15,без запаха,тюльпан,4180.0,209,Краснодар
4574,Букет из 25 белых тюльпанов стандарт под ленту,4.6,869,25,без запаха,тюльпан,5018.0,251,Краснодар
4607,Букет из 25 красных тюльпанов стандарт под ленту,4.8,938,25,без запаха,тюльпан,5018.0,251,Краснодар
4572,Букет из 25 розовых тюльпанов стандарт под ленту,4.7,671,25,без запаха,тюльпан,5018.0,251,Краснодар
2125,Букет цветов Любящий взгляд,4.7,410,25,без запаха,тюльпан,5227.0,262,Краснодар
2157,Букет цветов Романтический день,5.0,451,25,без запаха,тюльпан,5227.0,262,Краснодар
4458,Букет цветов Поцелуй любви,4.6,824,25,без запаха,тюльпан,6275.0,314,Краснодар
4452,Букет из 35 тюльпанов стандарт микс под ленту,4.9,883,35,без запаха,тюльпан,6798.0,340,Краснодар
4606,Букет из 51 тюльпана стандарт яркий микс под ленту,5.0,791,51,без запаха,тюльпан,7890.0,395,Краснодар
4571,Букет из 51 жёлтого тюльпана стандарт под ленту,4.8,660,51,без запаха,тюльпан,9416.0,471,Краснодар
4573,Букет из 51 розового тюльпана стандарт под ленту,4.5,562,51,без запаха,тюльпан,9416.0,471,Краснодар
4453,Букет из 51 тюльпанов стандарт микс под ленту,4.6,632,51,без запаха,тюльпан,9416.0,471,Краснодар
4449,Букет из 51 тюльпана стандарт микс в упаковке,4.8,501,51,без запаха,тюльпан,9940.0,497,Краснодар
2126,Букет цветов Роскошь,4.6,955,51,без запаха,тюльпан,9940.0,497,Краснодар
2159,Букет цветов Сладкий шепот,4.5,538,51,без запаха,тюльпан,9940.0,497,Краснодар
4461,Букет в шляпной коробке Мягкая L на фото,4.8,428,51,без запаха,тюльпан,11530.0,577,Краснодар
3094,Букет из 101 тюльпана микс стандарт под ленту,4.5,641,101,без запаха,тюльпан,12990.0,650,Краснодар
2136,Букет цветов Твоя фантазия,4.8,579,51,без запаха,тюльпан,13367.0,669,Краснодар
4459,Букет цветов Яркие эмоции,4.7,919,51,без запаха,тюльпан,13367.0,669,Краснодар
2161,Букет из 101 белого тюльпана стандарт в стильной упаковке,4.8,584,101,без запаха,тюльпан,18005.0,901,Краснодар
2127,Букет из 101 розового тюльпана стандарт в дизайнерской упаковке,4.7,707,101,без запаха,тюльпан,18005.0,901,Краснодар
3095,Букет цветов Важный шаг,4.8,425,101,без запаха,тюльпан,18005.0,901,Краснодар
153,Тюльпаны белые,4.9,657,,без запаха,тюльпан,238.0,12,Краснодар
97,Тюльпаны малиновые,4.8,536,,без запаха,тюльпан,238.0,12,Краснодар
